Question,Answer
هل توفرون خدمة ممرض منزلي عن بعد؟,لا نوفر خدمة ممرض منزلي عن بعد، خدماتنا تركز على الاستشارات الطبية.
هل يمكنني استخدام خدمة الشفاء الرقمية أثناء السفر خارج المملكة؟,يمكنك استخدام الخدمة من خارج المملكة، ولكن يجب أن تكون الخدمات متوافقة مع قوانين البلد الذي تتواجد فيه.
هل يمكنني الحصول على تقرير طبي مفصل لتأمين السفر؟,يعتمد ذلك على متطلبات شركة التأمين، ولكن يمكننا تزويدك بالتقارير المتاحة لدينا.
هل توفرون برامج متابعة للحوامل؟,نعم، يمكن لأطباء النساء والولادة تقديم متابعة للحمل عن بعد في بعض المراحل.
هل الشفاء الرقمية تقدم خدمات الطوارئ النفسية؟,لا، لا نقدم خدمات الطوارئ النفسية. في حالات الطوارئ النفسية يجب البحث عن مساعدة فورية.
هل يمكنني تغيير معلوماتي الشخصية في الحساب؟,نعم، يمكنك تحديث معلوماتك الشخصية من خلال إعدادات حسابك على المنصة.
هل يمكنني الحصول على استشارة لمرض نادر؟,نعم، لدينا أطباء متخصصون في مختلف التخصصات وقد يكون لديهم الخبرة في التعامل مع الأمراض النادرة.
هل توفرون خدمات الاستشارات الوراثية؟,حالياً لا نقدم استشارات وراثية متخصصة، ولكن يمكننا توجيهك إلى مختصين إذا لزم الأمر.
هل يمكنني الاحتفاظ بملف طبي للعائلة؟,نعم، يمكنك إدارة ملفات صحية منفصلة لأفراد عائلتك ضمن حسابك الواحد.
هل لديكم عروض خاصة في المناسبات الوطنية؟,نعم، قد نقدم عروضًا وخصومات خاصة خلال المناسبات والأعياد الوطنية.
هل يمكنني تقديم توصية لطبيب جديد للانضمام للمنصة؟,نعم، نرحب بالاقتراحات، ويمكنك تزويدنا بمعلومات الاتصال بالطبيب.
هل الشفاء الرقمية تدعم البحث العلمي؟,نعم، نلتزم بدعم البحث العلمي من خلال البيانات المجهولة والتعاون مع المؤسسات البحثية.
هل يمكنني الحصول على استشارة لتقييم الصحة العامة؟,نعم، يمكن لطبيب عام تقديم استشارة لتقييم صحتك العامة وتقديم نصائح وقائية.
هل يمكنني معرفة التخصص الدقيق للطبيب قبل الحجز؟,نعم، ملفات الأطباء تتضمن تفاصيل عن تخصصاتهم الدقيقة وخبراتهم.
هل يمكنني إلغاء الباقة بعد الاشتراك بها؟,يمكن إلغاء الباقة وفقًا لشروط الإلغاء المحددة لكل باقة، والتي قد تشمل رسوم إلغاء أو عدم استرداد المبلغ.
هل يمكنني الحصول على استشارة للحصول على وصفة نظارة؟,لا، لا يمكن إصدار وصفة نظارة عن بعد، حيث يتطلب ذلك فحصاً دقيقاً للعيون.
هل يمكنني الاستفسار عن مدى تفاعل دواءين مع بعضهما؟,نعم، يمكن للطبيب أو الصيدلي تقديم معلومات حول التفاعلات الدوائية المحتملة.
هل توفرون خدمة تذكير بتناول الأدوية؟,حالياً لا نوفر خدمة تذكير بتناول الأدوية بشكل مباشر، ولكن نعمل على تطوير هذه الميزة.
هل يمكنني الحصول على دعم نفسي لمشكلات النوم؟,نعم، يقدم أخصائيون نفسيون الدعم والنصائح للتعامل مع اضطرابات النوم.
هل تتوفر خدمة الاستشارات العاجلة؟,لا، لا نقدم استشارات عاجلة بالمعنى الطبي الطارئ.
هل يمكنني الإبلاغ عن طبيب إذا كانت هناك مشكلة؟,نعم، يمكنك الإبلاغ عن أي مشكلة تتعلق بالطبيب أو الخدمة، وسنتخذ الإجراءات اللازمة.
هل الشفاء الرقمية متوافقة مع أنظمة إدارة المستشفيات؟,نعم، نسعى لربط نظامنا مع أنظمة إدارة المستشفيات لتسهيل تبادل المعلومات الطبية.
هل توفرون خدمات للعلاج الطبيعي عن بعد؟,حالياً لا نقدم خدمات العلاج الطبيعي عن بعد، حيث يتطلب ذلك تفاعلاً جسدياً.
هل يمكنني الحصول على استشارة بخصوص صحة الفم والأسنان؟,يمكن لطبيب عام تقديم نصائح أولية، ولكن الاستشارة المتخصصة تتطلب زيارة طبيب أسنان.
هل توفرون خدمة إعداد تقارير طبية للجهات الرسمية؟,يمكننا توفير التقارير الطبية المتوفرة في سجلك، لكن قبولها من الجهات الرسمية يعتمد على متطلبات تلك الجهات.
هل يمكنني تجديد الوصفات الطبية بشكل أوتوماتيكي؟,لا، يتطلب تجديد الوصفات موافقة الطبيب بعد تقييم الحالة لضمان السلامة.
هل يمكنني الحصول على استشارة لوضع خطة تمارين رياضية؟,نعم، يمكن لأخصائيي التغذية أو الصحة العامة تقديم نصائح لوضع خطة تمارين مناسبة.
هل تتوفر خدمة الدردشة مع الطبيب بدون فيديو؟,نعم، بعض الخدمات قد تتيح الدردشة النصية المباشرة مع الطبيب دون الحاجة للفيديو.
هل يمكنني حجز استشارة للوقاية من الأمراض الوراثية؟,يمكن للطبيب العام تقديم معلومات أولية، ولكن الاستشارة المتخصصة تتطلب متخصصاً في علم الوراثة.
هل يمكنني الحصول على شهادة وفاة إلكترونية؟,لا، لا يمكن إصدار شهادات الوفاة إلكترونياً.
هل يمكنني معرفة وقت الانتظار المتوقع للاستشارة؟,يتم عرض وقت الانتظار المتوقع عند حجز الاستشارات الفورية، وفي المواعيد المجدولة تكون محددة مسبقاً.
هل يمكنني تلقي إشعارات على جوالي؟,نعم، يمكنك تفعيل الإشعارات على تطبيق الجوال لتلقي التنبيهات والتذكيرات.
هل الشفاء الرقمية توفر فرص عمل للأطباء؟,"نعم، نسعى دائماً لاستقطاب الأطباء المؤهلين، ويمكنك زيارة قسم ""الوظائف"" على موقعنا."
هل يمكنني الحصول على استشارة بخصوص صحة الجلد والشعر؟,نعم، لدينا أطباء جلدية متخصصون في تقديم استشارات حول مشاكل الجلد والشعر.
هل يمكنني إلغاء طلب توصيل الأدوية بعد الشحن؟,لا يمكن إلغاء الطلب بعد الشحن، ولكن يمكنك التواصل مع فريق الدعم للمساعدة.
هل توفرون خدمة الإحالة إلى أطباء متخصصين في عيادات فعلية؟,نعم، إذا رأى الطبيب ضرورة لمقابلة فيزيائية، يمكنه إحالتك إلى أخصائي في عيادة فعلية.
هل يمكنني الحصول على دعم نفسي للتعامل مع الحزن أو الفقدان؟,نعم، يقدم أخصائيونا النفسيون الدعم للتعامل مع الحزن والفقدان والصدمات.
هل يمكنني استخدام خدمة الشفاء الرقمية لإصدار تقرير طبي للحصول على إجازة عمل؟,نعم، يمكن للطبيب إصدار تقرير طبي رسمي إذا كانت الحالة تستدعي ذلك، وفقاً للأنظمة.
هل يمكنني الحصول على استشارة بخصوص تنظيم الأسرة؟,نعم، يمكن لأطباء النساء والولادة تقديم استشارات حول تنظيم الأسرة ووسائل منع الحمل.
هل تتوفر استشارات للطب الرياضي؟,نعم، لدينا أطباء يمكنهم تقديم استشارات أولية حول الإصابات الرياضية والوقاية منها.
هل يمكنني تحميل سجلاتي الطبية القديمة إلى المنصة؟,نعم، يمكنك تحميل سجلاتك الطبية السابقة لضمها إلى ملفك الإلكتروني الجديد.
هل توفرون خدمات الطوارئ لكسور العظام؟,لا، لا نقدم خدمات الطوارئ لكسور العظام أو أي إصابات خطيرة أخرى.
هل يمكنني الحصول على وصفة طبية لدواء خارج المملكة؟,الوصفات الطبية تصدر وفقاً للوائح المملكة العربية السعودية وقد لا تكون صالحة للاستخدام خارجها.
هل لديكم سياسة استرداد لخطط الاشتراك السنوية؟,سياسة الاسترداد للخطط السنوية تختلف وقد تتضمن رسوم إلغاء، يرجى مراجعة شروط الاشتراك.
هل توفرون استشارات بخصوص العقم؟,نعم، يمكن لأطباء النساء والولادة أو التخصصات ذات الصلة تقديم استشارات أولية حول العقم.
هل يمكنني تغيير لغة واجهة التطبيق؟,نعم، يمكنك تغيير لغة واجهة التطبيق من خلال الإعدادات.
هل يمكنني الحصول على نصائح حول الإقلاع عن التدخين؟,نعم، يمكن لأطبائنا تقديم الدعم والنصائح للمساعدة في الإقلاع عن التدخين.
هل يمكنني الدفع لمرة واحدة للاستشارة بدون اشتراك؟,نعم، يمكنك الدفع لكل استشارة على حدة دون الحاجة للاشتراك في باقة.
هل توفرون خدمة المراقبة عن بعد لمرضى السكري؟,نعم، يمكن لأطبائنا تقديم إرشادات ومتابعة لمرضى السكري عن بعد.
هل يمكنني الحصول على استشارة لتقييم الصحة العقلية؟,نعم، يمكن لأخصائيي الرعاية النفسية إجراء تقييم أولي للصحة العقلية.
هل تتوفر استشارات للطب الباطني؟,نعم، لدينا أطباء باطنية لتقديم استشارات حول أمراض الجهاز الهضمي، القلب، وغيرها.
هل يمكنني الحصول على نسخة ورقية من الوصفة الطبية؟,لا، الوصفات الطبية تصدر إلكترونياً فقط، ويمكنك طباعتها بنفسك إذا لزم الأمر.
هل الشفاء الرقمية مسؤولة عن نتائج سوء استخدام الخدمة؟,لا، الشركة غير مسؤولة عن أي سوء استخدام للخدمة أو عن المعلومات غير الدقيقة التي يقدمها المستخدم.
هل يمكنني تحديد طبيب بنفس جنسي؟,نعم، يمكنك تصفح ملفات الأطباء واختيار طبيب بنفس جنسك إذا كان متاحاً.
هل لديكم سياسة للتعامل مع الشكاوى الطبية؟,نعم، لدينا إجراءات محددة للتعامل مع الشكاوى الطبية بجدية وسرية.
هل توفرون استشارات للحالات الحرجة؟,لا، خدماتنا لا تشمل الحالات الحرجة. يجب التوجه إلى المستشفى في هذه الحالات.
هل يمكنني الحصول على تقرير طبي لتجديد رخصة القيادة؟,قد يتطلب تجديد رخصة القيادة فحصاً طبياً لا يمكن إجراؤه عن بعد في جميع الحالات.
هل توفرون استشارات للحساسية والربو؟,نعم، لدينا أطباء متخصصون يمكنهم تقديم استشارات حول الحساسية والربو.
هل يمكنني استخدام الخدمة إذا كنت غير متصل بالإنترنت؟,لا، تتطلب خدماتنا اتصالاً بالإنترنت لإجراء الاستشارات.
هل توفرون خدمة التوعية الصحية عبر وسائل التواصل الاجتماعي؟,نعم، ننشر محتوى توعوياً بشكل منتظم على صفحاتنا الرسمية في وسائل التواصل الاجتماعي.
هل يمكنني الحصول على استشارة بخصوص مشاكل الجهاز الهضمي؟,نعم، لدينا أطباء باطنية متخصصون في أمراض الجهاز الهضمي.
هل يمكنني الدفع عبر المحفظة الإلكترونية الخاصة بي؟,نعم، ندعم الدفع عبر Apple Pay و STC Pay، وقد نضيف المزيد من المحافظ مستقبلاً.
هل توفرون استشارات للأمراض الجلدية؟,نعم، لدينا أطباء جلدية لتقديم استشارات حول مختلف الأمراض الجلدية.
هل يمكنني حجز استشارة للأمراض المنقولة جنسياً؟,نعم، يمكن لأطبائنا تقديم استشارات سرية حول الأمراض المنقولة جنسياً.
هل لديكم سياسة للتعامل مع البيانات بعد إلغاء الحساب؟,يتم حذف البيانات الشخصية غير الضرورية مع الاحتفاظ بما تقتضيه اللوائح والقوانين من سجلات طبية.
هل يمكنني الحصول على استشارة بخصوص التوحد أو اضطرابات النمو؟,نعم، يمكن لأطباء الأطفال والمتخصصين تقديم استشارات حول التوحد واضطرابات النمو.
هل توفرون خدمة متابعة الحمل بعد الولادة؟,نعم، يمكن لأطباء النساء والولادة تقديم متابعة ما بعد الولادة عن بعد.
هل يمكنني استشارة طبيب خارج تخصصي؟,يمكنك استشارة أي طبيب متاح، ولكن يُفضل اختيار التخصص المناسب لحالتك.
هل توفرون استشارات بخصوص مشاكل العظام والمفاصل؟,نعم، يمكن لأطبائنا تقديم استشارات أولية حول مشاكل العظام والمفاصل.
هل يمكنني طلب دواء بدون وصفة طبية من الصيدلية الإلكترونية؟,نعم، يمكنك طلب الأدوية التي لا تتطلب وصفة طبية مباشرة من الصيدلية الإلكترونية.
هل الشفاء الرقمية تقدم خدمات للطب البديل؟,لا، نركز على الطب التقليدي المعتمد على الأدلة العلمية.
هل يمكنني الحصول على نصائح حول تحسين جودة النوم؟,نعم، يمكن لأخصائيي الرعاية النفسية والصحة العامة تقديم نصائح لتحسين جودة النوم.
هل توفرون خدمة تحليل نتائج فحوصات الدم الشاملة؟,نعم، يمكنك تحميل نتائج فحوصات الدم الشاملة ليقوم الطبيب بتحليلها وشرحها.
هل يمكنني الحصول على استشارة بخصوص الأمراض المعدية؟,نعم، يمكن لأطبائنا تقديم استشارات حول الأمراض المعدية وطرق الوقاية والعلاج.
هل توفرون خدمة مخصصة لكبار السن؟,نسعى لتلبية احتياجات جميع الفئات العمرية، ونرحب بالملاحظات لتحسين الخدمة لكبار السن.
هل يمكنني الحصول على استشارة لتقييم الألم المزمن؟,نعم، يمكن للطبيب تقييم الألم المزمن وتقديم خطة علاج أولية أو توجيهك.
هل توفرون خدمات استشارية للاضطرابات الهرمونية؟,نعم، لدينا أطباء متخصصون في الباطنة والغدد الصماء يمكنهم تقديم استشارات حول الاضطرابات الهرمونية.
هل يمكنني الحصول على استشارة بخصوص الصداع النصفي؟,نعم، يمكن لأطبائنا تقديم استشارات حول الصداع النصفي وإدارة الأعراض.
هل توفرون برامج للدعم النفسي بعد فقدان عزيز؟,نعم، يقدم أخصائيونا النفسيون الدعم للتعامل مع الحزن والفقدان.
هل يمكنني الحصول على استشارة بخصوص مشاكل الجهاز البولي؟,نعم، يمكن لأطبائنا تقديم استشارات حول مشاكل الجهاز البولي.
هل توفرون استشارات للرعاية التلطيفية عن بعد؟,حالياً، لا نقدم استشارات للرعاية التلطيفية المتقدمة عن بعد.
هل يمكنني استخدام خدماتكم لأغراض الوقاية فقط؟,نعم، يمكنك استخدام خدماتنا للحصول على نصائح وقائية وتعزيز صحتك العامة.
هل توفرون استشارات بخصوص ضغط الدم المرتفع؟,نعم، يمكن لأطبائنا تقديم استشارات حول إدارة ضغط الدم المرتفع.
هل يمكنني الحصول على استشارة حول تخطيط الوجبات الصحية؟,نعم، يمكن لأخصائيي التغذية مساعدتك في تخطيط وجبات صحية ومناسبة.
هل توفرون خدمة تذكير بتجديد الوصفات الطبية؟,نعمل على تطوير هذه الميزة لتذكير المستخدمين بتجديد الوصفات الطبية.
هل يمكنني الحصول على استشارة بخصوص مشاكل الشعر وتساقطه؟,نعم، يمكن لأطباء الجلدية تقديم استشارات حول مشاكل الشعر وتساقطه.
هل توفرون خدمة طب الأنف والأذن والحنجرة؟,نعم، لدينا أطباء متخصصون في طب الأنف والأذن والحنجرة.
هل يمكنني الحصول على استشارة بخصوص صحة العين؟,نعم، لدينا أطباء عيون يمكنهم تقديم استشارات أولية حول مشاكل العين.
هل توفرون استشارات للأمراض النادرة؟,نعم، لدينا أطباء متخصصون يمكنهم التعامل مع مجموعة واسعة من الأمراض، بما في ذلك الأمراض النادرة.
هل يمكنني الحصول على استشارة حول إدارة التوتر والقلق؟,نعم، يقدم أخصائيونا النفسيون الدعم والنصائح لإدارة التوتر والقلق.
هل توفرون خدمات للصحة المهنية عن بعد؟,يمكن لأطبائنا تقديم استشارات عامة حول الصحة المهنية، ولكن ليس تقييمات ميدانية.
هل يمكنني الحصول على استشارة بخصوص الأمراض المزمنة في الأطفال؟,نعم، لدينا أطباء أطفال متخصصون يمكنهم التعامل مع الأمراض المزمنة لدى الأطفال.
هل توفرون خدمة الاستشارات الطارئة للحالات النفسية؟,لا، لا نقدم خدمات الطوارئ النفسية. يرجى الاتصال بالجهات المختصة للطوارئ النفسية.
هل يمكنني الحصول على استشارة بخصوص مشاكل الجهاز التنفسي؟,نعم، لدينا أطباء متخصصون في أمراض الجهاز التنفسي.
هل يمكنني تحديد موعد استشارة في نفس اليوم؟,نعم، نوفر خيارات لحجز مواعيد في نفس اليوم إذا كان هناك أطباء متاحون.
هل الشفاء الرقمية توفر برامج لياقة بدنية؟,يمكن لأخصائيي التغذية والصحة العامة تقديم نصائح لوضع خطط لياقة بدنية.
هل يمكنني الحصول على استشارة بخصوص حساسية الطعام؟,نعم، يمكن لأطبائنا تقديم استشارات حول حساسية الطعام وإدارتها.
هل توفرون خدمة مراجعة الأدوية الحالية التي أستخدمها؟,نعم، يمكن للطبيب مراجعة قائمة الأدوية التي تستخدمها والتأكد من عدم وجود تعارضات.
هل يمكنني الحصول على استشارة بخصوص ألم الظهر؟,نعم، يمكن لأطبائنا تقديم استشارات أولية حول أسباب ألم الظهر ونصائح للتعامل معه.
هل توفرون استشارات للعلاج الطبيعي لبعض الحالات؟,لا، العلاج الطبيعي يتطلب تفاعلاً جسدياً، ولا نقدمه عن بعد حالياً.
هل يمكنني الحصول على استشارة بخصوص آلام المفاصل؟,نعم، يمكن لأطبائنا تقديم استشارات أولية حول آلام المفاصل والتهاباتها.
هل توفرون خدمات استشارية للرعاية المنزلية لكبار السن؟,لا نقدم خدمات الرعاية المنزلية المباشرة، ولكن يمكننا تقديم المشورة العامة حولها.
هل يمكنني الحصول على استشارة بخصوص مشاكل السمع؟,نعم، يمكن لأطباء الأنف والأذن والحنجرة تقديم استشارات حول مشاكل السمع.
هل توفرون استشارات للأمراض النادرة في الأطفال؟,نعم، يمكن لأطباء الأطفال التعامل مع الأمراض النادرة في الأطفال.
هل يمكنني الحصول على استشارة بخصوص العدوى البولية؟,نعم، يمكن لأطبائنا تقديم استشارات حول العدوى البولية وعلاجها.
هل توفرون استشارات للحروق البسيطة؟,نعم، يمكن للطبيب تقديم نصائح للتعامل مع الحروق البسيطة.
هل يمكنني الحصول على استشارة حول كيفية التعامل مع طفلي المصاب بالتوحد؟,نعم، يمكن لأخصائيي الأطفال والرعاية النفسية تقديم الدعم والنصائح للتعامل مع الأطفال المصابين بالتوحد.
هل الشفاء الرقمية تقدم خدمات للطب التجميلي؟,لا، خدماتنا لا تشمل الطب التجميلي حالياً.
هل يمكنني الحصول على استشارة حول الأنماط الغذائية الصحية؟,نعم، يمكن لأخصائيي التغذية تقديم استشارات حول الأنماط الغذائية الصحية.
هل توفرون خدمة طلب التحاليل الطبية؟,نعم، يمكن للطبيب طلب التحاليل الطبية وإرسال طلب التحويل إلكترونياً.
هل يمكنني الحصول على استشارة بخصوص الأمراض الموسمية؟,نعم، يمكن لأطبائنا تقديم استشارات حول الأمراض الموسمية مثل الإنفلونزا والحساسية.
هل توفرون خدمات استشارية للرعاية ما بعد الجراحة؟,نعم، يمكن للأطباء تقديم استشارات لمتابعة التعافي بعد الجراحة.
هل يمكنني الحصول على استشارة بخصوص مشاكل الهضم؟,نعم، لدينا أطباء باطنية متخصصون في مشاكل الهضم.
هل توفرون استشارات للرعاية المنزلية للمرضى المزمنين؟,لا، لا نقدم خدمات الرعاية المنزلية المباشرة، ولكن يمكننا تقديم المشورة.
هل يمكنني الحصول على استشارة بخصوص مشاكل الرؤية؟,نعم، يمكن لأطباء العيون تقديم استشارات أولية حول مشاكل الرؤية.
"هل الشفاء الرقمية توفر خدمة ""الطبيب عند الطلب""؟","نعم، نوفر خيار الاستشارات الفورية أو ""الطبيب عند الطلب"" حسب التوفر."
هل يمكنني الحصول على استشارة بخصوص الدوخة والدوار؟,نعم، يمكن لأطبائنا تقديم استشارات أولية حول أسباب الدوخة والدوار.
هل توفرون استشارات للأمراض الجلدية عند الأطفال؟,نعم، لدينا أطباء أطفال وجلدية يمكنهم تقديم استشارات حول الأمراض الجلدية عند الأطفال.
هل يمكنني الحصول على استشارة بخصوص مشاكل الكلى؟,نعم، لدينا أطباء باطنية يمكنهم تقديم استشارات أولية حول مشاكل الكلى.
هل توفرون خدمات استشارية للوقاية من الأمراض القلبية؟,نعم، يمكن لأطبائنا تقديم نصائح وقائية لتقليل مخاطر الأمراض القلبية.
هل يمكنني الحصول على استشارة بخصوص التوتر ما بعد الصدمة (PTSD)؟,نعم، يمكن لأخصائيي الرعاية النفسية تقديم الدعم للتعامل مع التوتر ما بعد الصدمة.
هل توفرون استشارات حول إدارة الألم؟,نعم، يمكن لأطبائنا تقديم استشارات حول إدارة الألم المزمن أو الحاد.
هل يمكنني الحصول على استشارة بخصوص مشاكل الغدة الدرقية؟,نعم، لدينا أطباء غدد صماء يمكنهم تقديم استشارات حول مشاكل الغدة الدرقية.
هل توفرون خدمة الرأي الطبي الثاني للحالات الحرجة؟,في الحالات الحرجة، يجب مراجعة مستشفى، ولكن يمكننا تقديم رأي ثانٍ بناءً على التقارير المقدمة.
هل يمكنني الحصول على استشارة بخصوص مشاكل الذاكرة؟,نعم، يمكن لأخصائيي الرعاية النفسية أو الأعصاب تقديم استشارات أولية حول مشاكل الذاكرة.
هل توفرون استشارات للأمراض المزمنة مثل السكري والضغط؟,نعم، نقدم متابعة وإدارة للأمراض المزمنة مثل السكري والضغط.
هل يمكنني الحصول على استشارة بخصوص مشاكل الجهاز العضلي الهيكلي؟,نعم، يمكن لأطبائنا تقديم استشارات أولية حول مشاكل الجهاز العضلي الهيكلي.
هل توفرون خدمة الاستشارات الطبية الطارئة لحالات الأطفال؟,لا، لا نقدم استشارات طارئة للأطفال. يجب التوجه إلى الطوارئ في المستشفى.
هل يمكنني الحصول على استشارة بخصوص مشاكل الجهاز العصبي؟,نعم، يمكن لأطبائنا تقديم استشارات أولية حول مشاكل الجهاز العصبي.
هل توفرون استشارات للمسافرين؟,نعم، يمكن لأطبائنا تقديم استشارات صحية للمسافرين حول اللقاحات والاحتياطات اللازمة.
هل يمكنني الحصول على استشارة بخصوص زيادة الوزن أو السمنة؟,نعم، يمكن لأخصائيي التغذية والصحة العامة تقديم استشارات حول زيادة الوزن والسمنة.
هل توفرون خدمة الإسعافات الأولية عن بعد؟,لا، لا نقدم خدمة الإسعافات الأولية عن بعد، فهي تتطلب تدخلاً مباشراً.
هل يمكنني الحصول على استشارة بخصوص انقطاع الطمث؟,نعم، يمكن لأطباء النساء والولادة تقديم استشارات حول انقطاع الطمث وأعراضه.
هل توفرون استشارات لأمراض الجهاز التنفسي المزمنة؟,نعم، لدينا أطباء متخصصون في أمراض الجهاز التنفسي المزمنة مثل الربو ومرض الانسداد الرئوي المزمن.
هل يمكنني الحصول على استشارة بخصوص مشاكل الثدي؟,نعم، يمكن لأطباء النساء والولادة تقديم استشارات أولية حول مشاكل الثدي.
هل توفرون استشارات للرعاية بعد الإصابة بفيروس كورونا؟,نعم، يمكن لأطبائنا تقديم استشارات ومتابعة للحالات بعد التعافي من فيروس كورونا.
هل يمكنني الحصول على استشارة بخصوص الحساسية الموسمية؟,نعم، يمكن لأطبائنا تقديم استشارات حول الحساسية الموسمية وإدارة الأعراض.
هل توفرون خدمات استشارية للطب الوقائي؟,نعم، نقدم استشارات حول الطب الوقائي، بما في ذلك الفحوصات الدورية والتطعيمات.
هل يمكنني الحصول على استشارة بخصوص ارتفاع الكوليسترول؟,نعم، يمكن لأطبائنا تقديم استشارات حول ارتفاع الكوليسترول وإدارة الحالة.
هل توفرون استشارات لمرضى السرطان؟,يمكن لأطبائنا تقديم استشارات دعم عامة لمرضى السرطان، ولكن ليس العلاج المتخصص.
هل يمكنني الحصول على استشارة بخصوص مشاكل الغدة الدرقية عند الأطفال؟,نعم، لدينا أطباء أطفال متخصصون يمكنهم تقديم استشارات حول مشاكل الغدة الدرقية عند الأطفال.
هل توفرون خدمات استشارية للطب الشرعي؟,لا، لا نقدم خدمات الطب الشرعي.
هل يمكنني الحصول على استشارة بخصوص الأرق واضطرابات النوم؟,نعم، يمكن لأخصائيي الرعاية النفسية تقديم استشارات حول الأرق واضطرابات النوم.
هل توفرون استشارات للأمراض العصبية؟,نعم، لدينا أطباء أعصاب يمكنهم تقديم استشارات أولية حول الأمراض العصبية.
هل يمكنني الحصول على استشارة بخصوص فقر الدم؟,نعم، يمكن لأطبائنا تقديم استشارات حول فقر الدم وأسبابه وعلاجه.
هل توفرون استشارات للطب النفسي للأطفال والمراهقين؟,نعم، لدينا أخصائيون نفسيون متخصصون في صحة الأطفال والمراهقين النفسية.
هل يمكنني الحصول على استشارة بخصوص مشاكل اللثة والأسنان؟,يمكن لطبيب عام تقديم نصائح أولية، ولكن يتطلب استشارة متخصصة زيارة طبيب أسنان.
هل توفرون خدمات استشارية للطب الباطني العام؟,نعم، لدينا أطباء باطنية عامون للتعامل مع مجموعة واسعة من الحالات.
هل يمكنني الحصول على استشارة بخصوص آلام الصدر غير القلبية؟,نعم، يمكن لأطبائنا تقييم آلام الصدر غير القلبية وتوجيهك.
هل توفرون استشارات للمرضى الذين يحتاجون إلى وصفات طبية متكررة؟,نعم، يمكن تنظيم وصفات طبية متكررة للحالات المزمنة بعد التقييم الدوري.
هل يمكنني الحصول على استشارة بخصوص مشاكل الجهاز المناعي؟,نعم، يمكن لأطبائنا تقديم استشارات أولية حول مشاكل الجهاز المناعي.
هل توفرون استشارات بخصوص مشاكل ضعف التركيز؟,نعم، يمكن لأخصائيي الرعاية النفسية أو الأعصاب تقديم استشارات حول مشاكل التركيز.
هل يمكنني الحصول على استشارة بخصوص صحة العظام والهشاشة؟,نعم، يمكن لأطبائنا تقديم استشارات حول صحة العظام والوقاية من الهشاشة.
هل توفرون استشارات لأمراض الكلى المزمنة؟,نعم، يمكن لأطبائنا تقديم استشارات أولية ومتابعة لمرضى الكلى المزمنة.